"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"H001_batch2_proportion_sweep_full"
"07/03/2026 09:28:48:851 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","human-regime-bias-mean","ai-regime-bias-mean","ai-proportion","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais"
"7","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","16.822336236542043","82.3394529095532","0.45744140505307335","82.3394529095532","0","0.45744140505307335","0","11.377817217828596","11.377817217828596","0","0","1050.935925497392","1050.935925497392","0","0","0.08026673730169853","0","0","0","0","0","0","0","0.0830967287391211","100","0"
"8","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","176","17.368798854161156","87.24618493539091","0.4847010274188384","87.24618493539091","0","0.4847010274188384","0","11.616720067107758","11.616720067107758","0","0","1174.1768897308848","1174.1768897308848","0","0","0.10157722888641985","0","0","0","0","0","0","0","0.0782811861142113","100","0"
"1","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","14.444962782278381","85.33346450486975","0.47407480280483194","85.33346450486975","0","0.47407480280483194","0","11.359344413399908","11.359344413399908","0","0","1091.9877382790178","1091.9877382790178","0","0","0.07962276807770863","0","0","0","0","0","0","0","0.08331886421803193","100","0"
"2","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","11","22.58857669879079","84.15258370197098","0.4675143538998388","84.15258370197098","0","0.4675143538998388","0","11.18544627452589","11.18544627452589","0","0","963.8470981861834","963.8470981861834","0","0","0.07813806343014451","0","0","0","0","0","0","0","0.07622264170202835","100","0"
"5","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","591","11.188382973146972","86.62088788464821","0.4812271549147123","86.62088788464821","0","0.4812271549147123","0","11.232484722201312","11.232484722201312","0","0","934.2286254932328","934.2286254932328","0","0","0.07377630213716535","0","0","0","0","0","0","0","0.08390551677128807","100","0"
"6","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","56","21.58475844450848","86.96094681502984","0.48311637119461026","86.96094681502984","0","0.48311637119461026","0","11.242044854629238","11.242044854629238","0","0","983.4478812960155","983.4478812960155","0","0","0.07612908631108595","0","0","0","0","0","0","0","0.07569174550115275","100","0"
"3","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","16.055469626505115","86.18382078093033","0.47879900433850187","86.18382078093033","0","0.47879900433850187","0","11.318945741386047","11.318945741386047","0","0","1079.5327941764494","1079.5327941764494","0","0","0.08966691420773842","0","0","0","0","0","0","0","0.09827160058265365","100","0"
"4","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","11.428414022040343","95.18243450475677","0.5287913028042043","95.18243450475677","0","0.5287913028042043","0","11.006577929315709","11.006577929315709","0","0","1033.520213645616","1033.520213645616","0","0","0.07884904814852511","0","0","0","0","0","0","0","0.07483473687046459","100","0"
"10","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","16.261201553032805","95.03163386537076","0.527953521474282","95.03163386537076","0","0.527953521474282","0","11.44019551827814","11.44019551827814","0","0","1077.348552847909","1077.348552847909","0","0","0.07908837204927521","0","0","0","0","0","0","0","0.08301605176725656","100","0"
"9","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","181","23.500942657399904","100.52873574779659","0.5584929763766477","100.52873574779659","0","0.5584929763766477","0","11.232207800516896","11.232207800516896","0","0","1040.4005964852458","1040.4005964852458","0","0","0.06933859606883619","0","0","0","0","0","0","0","0.0912539851637882","100","0"
"11","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","20.49215021575003","68.91910225386586","0.3828839014103659","68.91910225386586","0","0.3828839014103659","0","10.996574013854993","10.996574013854993","0","0","926.2914501810884","926.2914501810884","0","0","0.08353084748431217","0","0","0","0","0","0","0","0.08162547621347956","100","0"
"13","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","16.892642195826653","95.31708938230048","0.5295393854572249","95.31708938230048","0","0.5295393854572249","0","11.29817608339991","11.29817608339991","0","0","1058.125404721578","1058.125404721578","0","0","0.09348798540135284","0","0","0","0","0","0","0","0.08775103135945941","100","0"
"12","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","10.567968827718886","86.86875072929952","0.48260417071833067","86.86875072929952","0","0.48260417071833067","0","11.595110757722995","11.595110757722995","0","0","1183.3064814352917","1183.3064814352917","0","0","0.09274642560234403","0","0","0","0","0","0","0","0.0904564506070003","100","0"
