"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"S-H004_ai_param_robustness"
"07/03/2026 09:11:43:702 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","ai-regime-bias-mean","human-regime-bias-mean","ai-proportion","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais","mean-regime-bias","human-mean-regime-bias","ai-mean-regime-bias","regime-bias-variance"
"6","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","868","77.15822301648559","31.80100257012353","0.17667223650068628","31.80100257012353","0","0.17667223650068628","0","26.386281236971275","26.386281236971275","0","0","1694.7158528338123","1694.7158528338123","0","0","0.03915242280510367","0","0","0","0","0","0","0","0.0877522117128428","100","0","1","1","0","0"
"2","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","264","56.305683908990915","29.65305657874568","0.1647392032152538","29.65305657874568","0","0.1647392032152538","0","26.64751070107333","26.64751070107333","0","0","1788.4394123508575","1788.4394123508575","0","0","0.040751615630653326","0","0","0","0","0","0","0","0.08173540045523106","100","0","1","1","0","0"
"1","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","478","64.61322113657477","29.199030434574343","0.16221683574763524","29.199030434574343","0","0.16221683574763524","0","26.294945052228464","26.294945052228464","0","0","1688.522621351668","1688.522621351668","0","0","0.0389104212939253","0","0","0","0","0","0","0","0.06564453061680521","100","0","1","1","0","0"
"7","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","514","66.69536594873676","32.78851442670597","0.18215841348169984","32.78851442670597","0","0.18215841348169984","0","26.50350547816428","26.50350547816428","0","0","1804.2538412940717","1804.2538412940717","0","0","0.03757742913311257","0","0","0","0","0","0","0","0.0712098117247485","100","0","1","1","0","0"
"4","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","-1","71.0825442200743","54.15766873292919","0.30087593740516216","54.15766873292919","0","0.30087593740516216","0","3617.2981189042744","3617.2981189042744","0","0","1462.4818187575986","1462.4818187575986","0","0","0.016489879942489294","1","1","0","1","1","0","100","0.0876755522216945","100","0","1","1","0","0"
"3","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","46","41.708789848564095","28.477214973090955","0.1582067498505053","28.477214973090955","0","0.1582067498505053","0","26.66984482399234","26.66984482399234","0","0","1871.9883780144924","1871.9883780144924","0","0","0.03517527402401388","0","0","0","0","0","0","0","0.08142236931813457","100","0","1","1","0","0"
"5","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","362","61.36262987939169","31.18408466542533","0.1732449148079185","31.18408466542533","0","0.1732449148079185","0","26.791558090354528","26.791558090354528","0","0","1707.8748521758137","1707.8748521758137","0","0","0.037025985230262126","0","0","0","0","0","0","0","0.07658701599012649","100","0","1","1","0","0"
"8","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","-1","105.60678646996955","141.19323596693798","0.7844068664829887","141.19323596693798","0","0.7844068664829887","0","3627.889055581682","3627.889055581682","0","0","1452.354696499916","1452.354696499916","0","0","0.019705286662978327","1","1","0","1","1","0","100","0.09378173178576832","100","0","1","1","0","0"
"9","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","414","59.457167671297086","31.726903543678397","0.17626057524265776","31.726903543678397","0","0.17626057524265776","0","26.51659385949532","26.51659385949532","0","0","1765.8346457530156","1765.8346457530156","0","0","0.036252419709181805","0","0","0","0","0","0","0","0.08720382390175936","100","0","1","1","0","0"
"10","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","646","53.63498766354437","28.999957043255833","0.16111087246253242","28.999957043255833","0","0.16111087246253242","0","26.40427638580502","26.40427638580502","0","0","1803.8140436388048","1803.8140436388048","0","0","0.04343735660056858","0","0","0","0","0","0","0","0.08006599997510301","100","0","1","1","0","0"
