"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"S-H005_fatigue_robustness"
"07/03/2026 09:22:57:246 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","ai-regime-bias-mean","human-regime-bias-mean","ai-proportion","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais","mean-regime-bias","human-mean-regime-bias","ai-mean-regime-bias","regime-bias-variance"
"6","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","11.095598696324188","98.33780680029226","0.5463211488905125","98.33780680029226","0","0.5463211488905125","0","839.137642047333","839.137642047333","0","0","615.1510560322217","615.1510560322217","0","0","0.018030686517254146","0.3550696621622091","0.3550696621622091","0","0.3171397894396078","0.3171397894396078","0","100","0.0971859774279823","100","0","0.06100625599487512","0.06100625599487512","0","0.009795398475977784"
"5","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","6","15.09233619550102","93.44336159581752","0.5191297866434307","93.44336159581752","0","0.5191297866434307","0","4026.6016367077614","4026.6016367077614","0","0","781.5910348128531","781.5910348128531","0","0","0.01578021543614372","1","1","0","1","1","0","100","0.074831991809271","100","0","0.05822678866637428","0.05822678866637428","0","0.007052794827651802"
"1","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","131","18.639815531927994","91.05174485419452","0.5058430269677474","91.05174485419452","0","0.5058430269677474","0","8268.944413418361","8268.944413418361","0","0","713.1504681075662","713.1504681075662","0","0","0.013938691839040063","1","1","0","1","1","0","100","0.0742685500558016","100","0","0.09908394318323888","0.09908394318323888","0","0.012207683526384048"
"3","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","21.97549512062207","77.3325734428837","0.42962540801602056","77.3325734428837","0","0.42962540801602056","0","808.0286615470827","808.0286615470827","0","0","642.9302162052668","642.9302162052668","0","0","0.016983960049963942","0.3568453489373715","0.3568453489373715","0","0.2988403891453426","0.2988403891453426","0","100","0.08098600698566298","100","0","0.05435705323586408","0.05435705323586408","0","0.006623795978303549"
"7","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","18.700601500757998","85.93733622728831","0.4774296457071573","85.93733622728831","0","0.4774296457071573","0","644.4218593238949","644.4218593238949","0","0","840.1036063478375","840.1036063478375","0","0","0.019894085863062294","0.2434875685400092","0.2434875685400092","0","0.20260109371993817","0.20260109371993817","0","100","0.08009106357938847","100","0","0.0535493537254645","0.0535493537254645","0","0.0071736378718792754"
"4","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","121","21.812396897501173","93.04795906538453","0.5169331059188029","93.04795906538453","0","0.5169331059188029","0","8742.167211061796","8742.167211061796","0","0","726.8654279183734","726.8654279183734","0","0","0.01247984290461246","1","1","0","1","1","0","100","0.08893786454123918","100","0","0.04498454096885838","0.04498454096885838","0","0.005385005385273583"
"2","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","11","19.77369191871199","98.88204223681387","0.5493446790934104","98.88204223681387","0","0.5493446790934104","0","729.323722869596","729.323722869596","0","0","736.2428589445178","736.2428589445178","0","0","0.019706087087623336","0.2978185782923353","0.2978185782923353","0","0.25254336639388003","0.25254336639388003","0","100","0.08606526978017177","100","0","0.06200883101868682","0.06200883101868682","0","0.007762004126764712"
"8","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","10.804175732978536","85.87709819937072","0.477094989996504","85.87709819937072","0","0.477094989996504","0","664.9740350739385","664.9740350739385","0","0","660.1148404335077","660.1148404335077","0","0","0.020618626126269746","0.2552388997677179","0.2552388997677179","0","0.2146906088670225","0.2146906088670225","0","100","0.08512200531063718","100","0","0.055494471870701015","0.055494471870701015","0","0.0068134675756164565"
"9","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","31","26.218056605778017","77.71293654689443","0.4317385363716357","77.71293654689443","0","0.4317385363716357","0","4222.372050695187","4222.372050695187","0","0","815.0652814932685","815.0652814932685","0","0","0.01625460724630967","1","1","0","1","1","0","100","0.07620009128136876","100","0","0.06135935096419819","0.06135935096419819","0","0.009455145126455712"
"11","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","17.766639310836","95.2212411332773","0.5290068951848739","95.2212411332773","0","0.5290068951848739","0","884.3910310627755","884.3910310627755","0","0","908.276743262823","908.276743262823","0","0","0.01671664908191617","0.3867923883852439","0.3867923883852439","0","0.34375943003692655","0.34375943003692655","0","100","0.08071578285899414","100","0","0.050087137761747294","0.050087137761747294","0","0.005050754656264293"
