"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"H001_batch2_proportion_sweep_full"
"07/03/2026 09:43:13:242 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","human-regime-bias-mean","ai-regime-bias-mean","ai-proportion","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais"
"2","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","10.748084204665915","88.08772442766345","0.48937624682035247","88.08772442766345","0","0.48937624682035247","0","11.050437873916493","11.050437873916493","0","0","1035.7345811699975","1035.7345811699975","0","0","0.0869521202562229","0","0","0","0","0","0","0","0.08366383178825357","100","0"
"6","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","126","23.7159573598975","82.18231063318404","0.45656839240657804","82.18231063318404","0","0.45656839240657804","0","11.559855023947074","11.559855023947074","0","0","1164.685094387218","1164.685094387218","0","0","0.10572386928424482","0","0","0","0","0","0","0","0.09192095803965418","100","0"
"8","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","86","18.090841098694682","82.48564668766466","0.4582535927092481","82.48564668766466","0","0.4582535927092481","0","11.434937802096886","11.434937802096886","0","0","1095.1365991340367","1095.1365991340367","0","0","0.08596159904231282","0","0","0","0","0","0","0","0.08694194435738328","100","0"
"4","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","451","12.938823719545965","80.47475199566314","0.4470819555314619","80.47475199566314","0","0.4470819555314619","0","11.226403301128292","11.226403301128292","0","0","936.6574467262097","936.6574467262097","0","0","0.08006653379469819","0","0","0","0","0","0","0","0.09213955507229024","100","0"
"1","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","826","17.46149561625353","80.35713048794311","0.44642850271079504","80.35713048794311","0","0.44642850271079504","0","11.06541957430845","11.06541957430845","0","0","920.6864751003137","920.6864751003137","0","0","0.0777094121950539","0","0","0","0","0","0","0","0.08425560008601751","100","0"
"5","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","41","14.856078779772034","85.08804576168575","0.4727113653426986","85.08804576168575","0","0.4727113653426986","0","10.798807688935392","10.798807688935392","0","0","837.7892560526401","837.7892560526401","0","0","0.07572583234397756","0","0","0","0","0","0","0","0.07455387406165001","100","0"
"3","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","106","12.971840198498683","90.40540799017032","0.5022522666120574","90.40540799017032","0","0.5022522666120574","0","11.297990335183554","11.297990335183554","0","0","880.4308329097453","880.4308329097453","0","0","0.0824951278298256","0","0","0","0","0","0","0","0.08569879647915143","100","0"
"7","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","1956","24.516661886387638","74.95561202390755","0.4164200667994864","74.95561202390755","0","0.4164200667994864","0","18.31249179360824","18.31249179360824","0","0","836.459233680198","836.459233680198","0","0","0.06514323374814013","0","0","0","0","0","0","0","0.07342690517387306","100","0"
"9","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","11.058339587508826","85.45345666810228","0.47474142593390156","85.45345666810228","0","0.47474142593390156","0","11.21220789321911","11.21220789321911","0","0","1031.9523134120955","1031.9523134120955","0","0","0.07596556383968722","0","0","0","0","0","0","0","0.08457080858788396","100","0"
"11","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","71","20.73749869616364","107.58473254191402","0.597692958566189","107.58473254191402","0","0.597692958566189","0","11.14330995164318","11.14330995164318","0","0","1099.8446109393133","1099.8446109393133","0","0","0.08476751015037509","0","0","0","0","0","0","0","0.07644190683166592","100","0"
"10","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","14.866332480896816","97.5234767769044","0.5417970932050244","97.5234767769044","0","0.5417970932050244","0","11.085463171963562","11.085463171963562","0","0","1044.806477331192","1044.806477331192","0","0","0.08420943341107057","0","0","0","0","0","0","0","0.07674718798253813","100","0"
"12","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","10.215143632819135","87.82100958927165","0.48789449771817583","87.82100958927165","0","0.48789449771817583","0","11.27259821135485","11.27259821135485","0","0","1179.7616601141176","1179.7616601141176","0","0","0.09071156505106681","0","0","0","0","0","0","0","0.06595660834768498","100","0"
"14","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","1","15.702256084964503","89.59132769911461","0.4977295983284145","89.59132769911461","0","0.4977295983284145","0","11.324000683896172","11.324000683896172","0","0","1174.0595623875897","1174.0595623875897","0","0","0.08908398900587144","0","0","0","0","0","0","0","0.08324389506617247","100","0"
"13","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","17.539441101925902","78.33192339394009","0.435177352188556","78.33192339394009","0","0.435177352188556","0","11.299324780185874","11.299324780185874","0","0","1054.9569702137355","1054.9569702137355","0","0","0.09500046509490945","0","0","0","0","0","0","0","0.0902510832045682","100","0"
"15","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","121","20.499960882350607","92.55382279580046","0.5141879044211136","92.55382279580046","0","0.5141879044211136","0","11.096670787237713","11.096670787237713","0","0","906.4555783402419","906.4555783402419","0","0","0.08616020921748313","0","0","0","0","0","0","0","0.07496595206891836","100","0"
"16","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","1","11.823871286280337","92.24967820576992","0.5124982122542774","92.24967820576992","0","0.5124982122542774","0","11.45225488297278","11.45225488297278","0","0","1192.707955522463","1192.707955522463","0","0","0.0921732605629324","0","0","0","0","0","0","0","0.08077180476923444","100","0"
