"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"H002_batch3_repeated_stress"
"07/03/2026 09:44:30:989 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","human-regime-bias-mean","ai-regime-bias-mean","ai-proportion","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais"
"6","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","16.05812453032776","77.3863795467066","0.4299243308150367","77.3863795467066","0","0.4299243308150367","0","702.7579206196718","702.7579206196718","0","0","807.1026708388246","807.1026708388246","0","0","0.020493511992765612","0.17780220467652938","0.17780220467652938","0","0.13517194707978114","0.13517194707978114","0","100","0.09192095803965418","100","0"
"1","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","11.566670996260001","84.69930282628107","0.47055168236822814","84.69930282628107","0","0.47055168236822814","0","686.1968467565368","686.1968467565368","0","0","703.6195813724968","703.6195813724968","0","0","0.019434365229618944","0.16336856464596197","0.16336856464596197","0","0.12413123117102459","0.12413123117102459","0","100","0.08425560008601751","100","0"
"7","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","76","16.667467970341917","78.91884917353484","0.43843805096408245","78.91884917353484","0","0.43843805096408245","0","1585.1014858745793","1585.1014858745793","0","0","759.1142442187256","759.1142442187256","0","0","0.018490251246803258","0.8077110314810354","0.8077110314810354","0","0.7234009905830534","0.7234009905830534","0","100","0.07342690517387306","100","0"
"8","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","9.997833817016485","78.82457103669249","0.4379142835371805","78.82457103669249","0","0.4379142835371805","0","764.3614856083836","764.3614856083836","0","0","721.6338732922662","721.6338732922662","0","0","0.01762967234677104","0.20767085774806918","0.20767085774806918","0","0.176240990405589","0.176240990405589","0","100","0.08694194435738328","100","0"
"4","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","21.02644807708397","94.16833372048983","0.5231574095582768","94.16833372048983","0","0.5231574095582768","0","3243.7745739944307","3243.7745739944307","0","0","627.1467904792362","627.1467904792362","0","0","0.02264705903391917","1","1","0","1","1","0","100","0.09213955507229024","100","0"
"5","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","27.598226449126884","85.94646592443276","0.47748036624684864","85.94646592443276","0","0.47748036624684864","0","5490.239036298336","5490.239036298336","0","0","573.8475367067473","573.8475367067473","0","0","0.0196781549826186","1","1","0","1","1","0","100","0.07455387406165001","100","0"
"2","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","15.154985806550314","94.91886166432865","0.5273270092462703","94.91886166432865","0","0.5273270092462703","0","1494.4254221615126","1494.4254221615126","0","0","670.1939176121894","670.1939176121894","0","0","0.016126024091571933","0.7370714565891732","0.7370714565891732","0","0.6629502814410086","0.6629502814410086","0","100","0.08366383178825357","100","0"
"3","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","11","18.778182728141317","88.17410949202238","0.48985616384456876","88.17410949202238","0","0.48985616384456876","0","3261.7040441421873","3261.7040441421873","0","0","606.1140779889016","606.1140779889016","0","0","0.021708462190956013","1","1","0","1","1","0","100","0.08569879647915143","100","0"
"11","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","16","18.164347339295873","107.95206324416307","0.5997336846897948","107.95206324416307","0","0.5997336846897948","0","821.9182454980416","821.9182454980416","0","0","762.571552758615","762.571552758615","0","0","0.021918809802753403","0.2686516022874698","0.2686516022874698","0","0.21461216366536118","0.21461216366536118","0","100","0.07644190683166592","100","0"
"10","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","11","31.97293334781051","87.98104214077702","0.4887835674487612","87.98104214077702","0","0.4887835674487612","0","10520.265850320988","10520.265850320988","0","0","697.4406768212211","697.4406768212211","0","0","0.01246891988220833","1","1","0","1","1","0","100","0.07674718798253813","100","0"
