"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"H003_batch4_mixed_regime"
"07/03/2026 09:45:00:115 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","ai-regime-bias-mean","ai-proportion","human-regime-bias-mean","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais","mean-regime-bias","human-mean-regime-bias","ai-mean-regime-bias","regime-bias-variance"
"8","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","13.683189570225224","81.50638557453846","0.4528132531918803","81.50638557453846","0","0.4528132531918803","0","10.988967719212077","10.988967719212077","0","0","1143.463277101265","1143.463277101265","0","0","0.07486833450738817","0","0","0","0","0","0","0","0.08694194435738328","100","0","0.047063384176295554","0.047063384176295554","0","0.006510135580090089"
"4","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","12.12248029536228","82.54805448574164","0.45860030269856467","82.54805448574164","0","0.45860030269856467","0","11.315456791116212","11.315456791116212","0","0","1032.474366221335","1032.474366221335","0","0","0.08278833620575177","0","0","0","0","0","0","0","0.09213955507229027","100","0","0.06305580454185604","0.06305580454185604","0","0.0066979930466486105"
"7","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","6","21.01418142249051","74.14567204580327","0.4119204002544626","74.14567204580327","0","0.4119204002544626","0","11.630649168867544","11.630649168867544","0","0","1276.6468072197715","1276.6468072197715","0","0","0.09888660314800668","0","0","0","0","0","0","0","0.07342690517387301","100","0","0.07056727398569058","0.07056727398569058","0","0.009564547252164499"
"2","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","12.974458065843336","89.10861585727365","0.4950478658737425","89.10861585727365","0","0.4950478658737425","0","11.216313334651131","11.216313334651131","0","0","1067.8871068806775","1067.8871068806775","0","0","0.09142575862852742","0","0","0","0","0","0","0","0.08366383178825355","100","0","0.05085050993556753","0.05085050993556753","0","0.006235341274366846"
"1","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","71","20.497600473542576","79.45849766424607","0.44143609813470036","79.45849766424607","0","0.44143609813470036","0","11.135765810506332","11.135765810506332","0","0","1056.939362136226","1056.939362136226","0","0","0.07956886598590995","0","0","0","0","0","0","0","0.08425560008601754","100","0","0.05261935300085784","0.05261935300085784","0","0.007051258757249602"
"5","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","8.734871211752633","83.50616992779916","0.4639231662655509","83.50616992779916","0","0.4639231662655509","0","10.981597125128763","10.981597125128763","0","0","888.278797446797","888.278797446797","0","0","0.07908501339991858","0","0","0","0","0","0","0","0.07455387406164998","100","0","0.06756923883707865","0.06756923883707865","0","0.007093359412135013"
"3","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","31","9.842310275474887","92.92002689194898","0.5162223716219387","92.92002689194898","0","0.5162223716219387","0","11.245931938985274","11.245931938985274","0","0","972.6040640072221","972.6040640072221","0","0","0.07622599693750698","0","0","0","0","0","0","0","0.08569879647915142","100","0","0.06907780912988616","0.06907780912988616","0","0.00913757109195878"
"6","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","96","26.55502697034231","74.9503335001145","0.4163907416673028","74.9503335001145","0","0.4163907416673028","0","11.443287193889093","11.443287193889093","0","0","1213.7046445022152","1213.7046445022152","0","0","0.09684526878958755","0","0","0","0","0","0","0","0.09192095803965415","100","0","0.04925004555894967","0.04925004555894967","0","0.005940827227319316"
"10","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","11","16.951989369404515","99.76451084721792","0.554247282484544","99.76451084721792","0","0.554247282484544","0","11.326470010819142","11.326470010819142","0","0","1077.2557869886607","1077.2557869886607","0","0","0.09784067416821784","0","0","0","0","0","0","0","0.07674718798253816","100","0","0.06060932157971019","0.06060932157971019","0","0.007257085821342646"
"14","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","13.956536164666275","99.07693761237164","0.5504274311798424","99.07693761237164","0","0.5504274311798424","0","11.620850777714333","11.620850777714333","0","0","1255.6147707841008","1255.6147707841008","0","0","0.10337304593271046","0","0","0","0","0","0","0","0.08324389506617247","100","0","0.06957526002673921","0.06957526002673921","0","0.00771122643476038"
