"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"S-H004_ai_param_robustness"
"07/03/2026 09:47:05:545 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","ai-regime-bias-mean","human-regime-bias-mean","ai-proportion","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais","mean-regime-bias","human-mean-regime-bias","ai-mean-regime-bias","regime-bias-variance"
"8","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","80","26.523894548604147","27.463403795674562","0.15257446553152534","27.463403795674562","0","0.15257446553152534","0","26.595965794137136","26.595965794137136","0","0","1812.7170196724228","1812.7170196724228","0","0","0.031338236852622936","0","0","0","0","0","0","0","0.08694194435738328","100","0","1","1","0","0"
"5","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","772","55.788368612146485","30.731180429448713","0.17072878016360396","30.731180429448713","0","0.17072878016360396","0","26.231565526251714","26.231565526251714","0","0","1535.0591022189217","1535.0591022189217","0","0","0.03524953646950557","0","0","0","0","0","0","0","0.07455387406165001","100","0","1","1","0","0"
"2","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","234","20.914556492207595","23.63471107961816","0.13130395044232313","23.63471107961816","0","0.13130395044232313","0","26.386055665780006","26.386055665780006","0","0","1781.7376427712627","1781.7376427712627","0","0","0.03538591305891137","0","0","0","0","0","0","0","0.08366383178825357","100","0","1","1","0","0"
"6","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","316","72.13219610435769","23.894196888600845","0.1327455382700047","23.894196888600845","0","0.1327455382700047","0","26.377551423371905","26.377551423371905","0","0","1889.6814804518838","1889.6814804518838","0","0","0.03684298180034995","0","0","0","0","0","0","0","0.09192095803965418","100","0","1","1","0","0"
"3","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","-1","92.1067928850886","144.11439226429928","0.8006355125794404","144.11439226429928","0","0.8006355125794404","0","3604.5634344163186","3604.5634344163186","0","0","1320.422617268227","1320.422617268227","0","0","0.018678141710296803","1","1","0","1","1","0","100","0.08569879647915143","100","0","1","1","0","0"
"4","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","1316","60.08155833465277","31.810659571547053","0.17672588650859475","31.810659571547053","0","0.17672588650859475","0","26.395777355482565","26.395777355482565","0","0","1692.5376532603946","1692.5376532603946","0","0","0.035830606812513155","0","0","0","0","0","0","0","0.09213955507229024","100","0","1","1","0","0"
"1","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","204","36.19121708529095","76.1271996984189","0.42292888721343835","76.1271996984189","0","0.42292888721343835","0","26.42814312980111","26.42814312980111","0","0","1804.211710766917","1804.211710766917","0","0","0.03244886696101612","0","0","0","0","0","0","0","0.08425560008601751","100","0","1","1","0","0"
"7","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","574","52.90297998986463","27.03890027153886","0.15021611261966034","27.03890027153886","0","0.15021611261966034","0","26.642207666949083","26.642207666949083","0","0","2025.3164570664185","2025.3164570664185","0","0","0.03322114570929835","0","0","0","0","0","0","0","0.07342690517387306","100","0","1","1","0","0"
"10","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","350","50.34899793516002","33.453218733770214","0.1858512151876123","33.453218733770214","0","0.1858512151876123","0","26.3196685036691","26.3196685036691","0","0","1757.132699675217","1757.132699675217","0","0","0.03198978989271439","0","0","0","0","0","0","0","0.07674718798253813","100","0","1","1","0","0"
"11","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","2","8","1.5","0.3","1","entrainment","0.8","0.3","0","3000","918","79.64610083005314","150.95343054868025","0.8386301697148902","150.95343054868025","0","0.8386301697148902","0","26.553001641426523","26.553001641426523","0","0","1716.9696543977636","1716.9696543977636","0","0","0.03882607252437098","0","0","0","0","0","0","0","0.07644190683166592","100","0","1","1","0","0"
