"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"S-H005_fatigue_robustness"
"07/03/2026 10:26:47:102 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","ai-regime-bias-mean","human-regime-bias-mean","ai-proportion","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais","mean-regime-bias","human-mean-regime-bias","ai-mean-regime-bias","regime-bias-variance"
"1","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","15.571911854178978","81.03701487569846","0.45020563819832476","81.03701487569846","0","0.45020563819832476","0","731.7091706662225","731.7091706662225","0","0","802.3475585814487","802.3475585814487","0","0","0.01869628465097395","0.292230657357198","0.292230657357198","0","0.25394657098013074","0.25394657098013074","0","100","0.08425560008601754","100","0","0.05261935300085784","0.05261935300085784","0","0.007051258757249604"
"7","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","16.65166452213664","80.54313422633783","0.44746185681298795","80.54313422633783","0","0.44746185681298795","0","1040.5205572572204","1040.5205572572204","0","0","830.6070021172732","830.6070021172732","0","0","0.014594865266273738","0.4859154165540674","0.4859154165540674","0","0.43560032779836505","0.43560032779836505","0","100","0.07342690517387301","100","0","0.07056727398569057","0.07056727398569057","0","0.009564547252164496"
"5","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","29.928326927948433","96.78688097766371","0.537704894320354","96.78688097766371","0","0.537704894320354","0","17929.023146158106","17929.023146158106","0","0","539.1797351759919","539.1797351759919","0","0","0.009598119150519002","1","1","0","1","1","0","100","0.07455387406164998","100","0","0.06756923883707865","0.06756923883707865","0","0.007093359412135012"
"8","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","10.028542233490683","87.59444060111792","0.4866357811173218","87.59444060111792","0","0.4866357811173218","0","866.1013365429733","866.1013365429733","0","0","749.461467590266","749.461467590266","0","0","0.016535538705375608","0.3620334929772757","0.3620334929772757","0","0.33300078620174894","0.33300078620174894","0","100","0.08694194435738328","100","0","0.04706338417629554","0.04706338417629554","0","0.00651013558009009"
"3","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","15.648475024724135","78.83236284319507","0.4379575713510837","78.83236284319507","0","0.4379575713510837","0","2183.412020898669","2183.412020898669","0","0","643.5628236679663","643.5628236679663","0","0","0.012710695961823948","1","1","0","1","1","0","100","0.08569879647915142","100","0","0.06907780912988616","0.06907780912988616","0","0.009137571091958778"
"4","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","21.906718290795894","87.34635902572025","0.48525755014289024","87.34635902572025","0","0.48525755014289024","0","17556.356307602084","17556.356307602084","0","0","681.3707054915743","681.3707054915743","0","0","0.009749247602209854","1","1","0","1","1","0","100","0.09213955507229027","100","0","0.06305580454185604","0.06305580454185604","0","0.006697993046648616"
"6","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","24.12425766980148","77.47650711970222","0.4304250395539012","77.47650711970222","0","0.4304250395539012","0","2411.25902954958","2411.25902954958","0","0","807.239332106564","807.239332106564","0","0","0.012170689673402402","1","1","0","1","1","0","100","0.09192095803965415","100","0","0.04925004555894965","0.04925004555894965","0","0.005940827227319319"
"2","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","71","20.146623769180252","88.82853653589498","0.493491869643861","88.82853653589498","0","0.493491869643861","0","4002.613742862211","4002.613742862211","0","0","672.5910822458842","672.5910822458842","0","0","0.01784992286655762","1","1","0","1","1","0","100","0.08366383178825355","100","0","0.05085050993556753","0.05085050993556753","0","0.006235341274366842"
"10","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","16","12.840073573014578","101.65231864235193","0.5647351035686218","101.65231864235193","0","0.5647351035686218","0","1304.2802527298848","1304.2802527298848","0","0","706.1511678544701","706.1511678544701","0","0","0.014973359262911767","0.6376226922740673","0.6376226922740673","0","0.5907530898411086","0.5907530898411086","0","100","0.07674718798253816","100","0","0.06060932157971019","0.06060932157971019","0","0.007257085821342647"
"12","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","300","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","19.029320986123267","100.09935202616309","0.5561075112564616","100.09935202616309","0","0.5561075112564616","0","3275.8173368806692","3275.8173368806692","0","0","820.3915968230227","820.3915968230227","0","0","0.023766783250540158","1","1","0","1","1","0","100","0.06595660834768498","100","0","0.05316864530330184","0.05316864530330184","0","0.0062994402436893394"
