"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"S-H006_fine_bias_onset"
"07/03/2026 11:41:09:166 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","ai-regime-bias-mean","human-regime-bias-mean","ai-proportion","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais","mean-regime-bias","human-mean-regime-bias","ai-mean-regime-bias","regime-bias-variance"
"5","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","1","17.39562891426344","86.48062129535059","0.48044789608528105","86.48062129535059","0","0.48044789608528105","0","3661.162935263784","3661.162935263784","0","0","610.7733047301479","610.7733047301479","0","0","0.020351176570565954","1","1","0","1","1","0","100","0.07455387406164998","100","0","0.06756923883707866","0.06756923883707866","0","0.00709335941213501"
"3","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","31","10.813560555488621","86.13029594568292","0.47850164414268287","86.13029594568292","0","0.47850164414268287","0","908.65704179382","908.65704179382","0","0","638.9310317967675","638.9310317967675","0","0","0.0221924145746748","0.32788858349910927","0.32788858349910927","0","0.2724380278625467","0.2724380278625467","0","100","0.08569879647915142","100","0","0.06907780912988615","0.06907780912988615","0","0.009137571091958778"
"2","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","11.721893337077674","91.06724318608538","0.5059291288115855","91.06724318608538","0","0.5059291288115855","0","722.2691076669943","722.2691076669943","0","0","767.5597766942793","767.5597766942793","0","0","0.01984197832590895","0.18668659777301308","0.18668659777301308","0","0.14817940511132927","0.14817940511132927","0","100","0.08366383178825355","100","0","0.05085050993556752","0.05085050993556752","0","0.006235341274366842"
"1","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","24.66791814898862","90.48045454889598","0.5026691919383109","90.48045454889598","0","0.5026691919383109","0","8227.997967249841","8227.997967249841","0","0","739.5997714058755","739.5997714058755","0","0","0.012768204498824653","1","1","0","1","1","0","100","0.08425560008601754","100","0","0.05261935300085787","0.05261935300085787","0","0.007051258757249614"
"7","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","11.074899862374807","77.17686842868544","0.4287603801593635","77.17686842868544","0","0.4287603801593635","0","650.0376998825249","650.0376998825249","0","0","930.3201094818796","930.3201094818796","0","0","0.021600923121229965","0.14460278861038334","0.14460278861038334","0","0.10002513325501652","0.10002513325501652","0","100","0.07342690517387301","100","0","0.07056727398569057","0.07056727398569057","0","0.009564547252164497"
"4","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","20.00622308343607","85.97240209747743","0.4776244560970968","85.97240209747743","0","0.4776244560970968","0","1660.946947037878","1660.946947037878","0","0","749.6301980301886","749.6301980301886","0","0","0.013133819960813531","0.8491171280796319","0.8491171280796319","0","0.7739646313585847","0.7739646313585847","0","100","0.09213955507229027","100","0","0.06305580454185605","0.06305580454185605","0","0.006697993046648623"
"8","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","12.159788307641094","87.66054187983711","0.4870030104435395","87.66054187983711","0","0.4870030104435395","0","756.4030756196253","756.4030756196253","0","0","733.7127806635351","733.7127806635351","0","0","0.017310142441800735","0.20253567082037194","0.20253567082037194","0","0.17093538374641654","0.17093538374641654","0","100","0.08694194435738328","100","0","0.047063384176295554","0.047063384176295554","0","0.006510135580090089"
"6","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","31","31.234583440614998","75.35826770871799","0.418657042826211","75.35826770871799","0","0.418657042826211","0","3657.51440824035","3657.51440824035","0","0","810.7462390330655","810.7462390330655","0","0","0.010779526540573903","1","1","0","1","1","0","100","0.09192095803965415","100","0","0.04925004555894966","0.04925004555894966","0","0.005940827227319322"
"9","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","16.14364670164923","86.75731951716932","0.48198510842871845","86.75731951716932","0","0.48198510842871845","0","1250.0422358268156","1250.0422358268156","0","0","696.8635089108899","696.8635089108899","0","0","0.01660384743137988","0.5641063186404137","0.5641063186404137","0","0.5000281572178773","0.5000281572178773","0","100","0.08457080858788396","100","0","0.06886074646557465","0.06886074646557465","0","0.00816139997833209"
"10","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","81","24.477984799307833","97.99174346018219","0.54439857477879","97.99174346018219","0","0.54439857477879","0","2686.049947980586","2686.049947980586","0","0","769.8456043891769","769.8456043891769","0","0","0.01762666831949855","1","1","0","1","1","0","100","0.07674718798253816","100","0","0.06060932157971019","0.06060932157971019","0","0.007257085821342645"
